Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Captain America: Civil War,"$1,153,296,293 ","$408,084,349 ",35.40%,"$745,211,944 ",64.60%
2,Rogue One: A Star Wars Story,"$1,056,057,273 ","$532,177,324 ",50.40%,"$523,879,949 ",49.60%
3,Finding Dory,"$1,028,570,889 ","$486,295,561 ",47.30%,"$542,275,328 ",52.70%
4,Zootopia,"$1,023,784,195 ","$341,268,248 ",33.30%,"$682,515,947 ",66.70%
5,The Jungle Book,"$966,550,600 ","$364,001,123 ",37.70%,"$602,549,477 ",62.30%
6,The Secret Life of Pets,"$875,457,937 ","$368,384,330 ",42.10%,"$507,073,607 ",57.90%
7,Fantastic Beasts and Where to Find Them,"$814,037,575 ","$234,037,575 ",28.80%,"$580,000,000 ",71.20%
8,Deadpool,"$782,612,155 ","$363,070,709 ",46.40%,"$419,541,446 ",53.60%
9,Suicide Squad,"$746,846,894 ","$325,100,054 ",43.50%,"$421,746,840 ",56.50%
10,Doctor Strange,"$677,718,395 ","$232,641,920 ",34.30%,"$445,076,475 ",65.70%
11,Moana,"$643,331,111 ","$248,757,044 ",38.70%,"$394,574,067 ",61.30%
12,Sing,"$634,151,679 ","$270,395,425 ",42.60%,"$363,756,254 ",57.40%
13,Mei ren yu,"$553,810,228 ","$3,232,685 ",0.60%,"$550,577,543 ",99.40%
14,X-Men: Apocalypse,"$543,934,105 ","$155,442,489 ",28.60%,"$388,491,616 ",71.40%
15,Kung Fu Panda 3,"$521,170,825 ","$143,528,619 ",27.50%,"$377,642,206 ",72.50%
16,La La Land,"$446,092,357 ","$151,101,803 ",33.90%,"$294,990,554 ",66.10%
17,Warcraft,"$439,048,914 ","$47,365,290 ",10.80%,"$391,683,624 ",89.20%
18,Jason Bourne,"$415,484,914 ","$162,434,410 ",39.10%,"$253,050,504 ",60.90%
19,Ice Age: Collision Course,"$408,579,038 ","$64,063,008 ",15.70%,"$344,516,030 ",84.30%
20,Independence Day: Resurgence,"$389,681,935 ","$103,144,286 ",26.50%,"$286,537,649 ",73.50%
21,Your Name.,"$357,986,087 ","$5,017,246 ",1.40%,"$352,968,841 ",98.60%
22,The Legend of Tarzan,"$356,700,357 ","$126,643,061 ",35.50%,"$230,057,296 ",64.50%
23,The Angry Birds Movie,"$352,333,929 ","$107,509,366 ",30.50%,"$244,824,563 ",69.50%
24,Trolls,"$346,864,462 ","$153,707,064 ",44.30%,"$193,157,398 ",55.70%
25,Star Trek Beyond,"$343,471,816 ","$158,848,340 ",46.20%,"$184,623,476 ",53.80%
26,The Great Wall,"$334,933,831 ","$45,540,830 ",13.60%,"$289,393,001 ",86.40%
27,Now You See Me 2,"$334,897,606 ","$65,075,540 ",19.40%,"$269,822,066 ",80.60%
28,The Conjuring 2,"$320,392,818 ","$102,470,008 ",32%,"$217,922,810 ",68%
29,Resident Evil: The Final Chapter,"$312,242,626 ","$26,830,068 ",8.60%,"$285,412,558 ",91.40%
30,Passengers,"$303,144,152 ","$100,014,699 ",33%,"$203,129,453 ",67%
31,Dangal,"$302,895,451 ","$12,391,761 ",4.10%,"$290,503,690 ",95.90%
32,Alice Through the Looking Glass,"$299,457,024 ","$77,041,381 ",25.70%,"$222,415,643 ",74.30%
33,Miss Peregrine's Home for Peculiar Children,"$296,482,446 ","$87,242,834 ",29.40%,"$209,239,612 ",70.60%
34,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848 ","$82,051,601 ",33.40%,"$163,572,247 ",66.60%
35,Sully,"$240,797,623 ","$125,070,033 ",51.90%,"$115,727,590 ",48.10%
36,Assassin's Creed,"$240,697,856 ","$54,647,948 ",22.70%,"$186,049,908 ",77.30%
37,Hidden Figures,"$235,956,898 ","$169,607,287 ",71.90%,"$66,349,611 ",28.10%
38,Ghostbusters,"$229,147,509 ","$128,350,574 ",56%,"$100,796,935 ",44%
39,Inferno,"$220,021,259 ","$34,343,574 ",15.60%,"$185,677,685 ",84.40%
40,Central Intelligence,"$216,972,543 ","$127,440,871 ",58.70%,"$89,531,672 ",41.30%
41,Bridget Jones's Baby,"$211,952,420 ","$24,252,420 ",11.40%,"$187,700,000 ",88.60%
42,Me Before You,"$208,314,186 ","$56,245,075 ",27%,"$152,069,111 ",73%
